code_dec,code_hex,rom_offset,attribute_hex,pin_bank,proportional_start_col,proportional_end_col,proportional_width_units,stored_inverted_columns_hex,active_columns_hex
85,55,0x1B9F,8B,top8,0,11,12,03 FD FF FD FF FD FF FD 03 FF FF,FC 02 00 02 00 02 00 02 FC 00 00
86,56,0x1BAB,8B,top8,0,11,12,1F EF F7 FB FD FB F7 EF 1F FF FF,E0 10 08 04 02 04 08 10 E0 00 00
87,57,0x1BB7,8B,top8,0,11,12,03 FD FB F7 CF F7 FB FD 03 FF FF,FC 02 04 08 30 08 04 02 FC 00 00
88,58,0x1BC3,9A,top8,1,10,10,FF 7D BB D7 EF D7 BB 7D FF FF FF,00 82 44 28 10 28 44 82 00 00 00
89,59,0x1BCF,8B,top8,0,11,12,7F BF DF EF F1 EF DF BF 7F FF FF,80 40 20 10 0E 10 20 40 80 00 00
90,5A,0x1BDB,9A,top8,1,10,10,FF 7D FB 75 EF 5D BF 7D FF FF FF,00 82 04 8A 10 A2 40 82 00 00 00
91,5B,0x1BE7,A9,top8,2,9,8,FF FF 01 FF 7D FF 7D FF FF FF FF,00 00 FE 00 82 00 82 00 00 00 00
92,5C,0x1BF3,9A,top8,1,10,10,FF 7F BF DF EF F7 FB FD FF FF FF,00 80 40 20 10 08 04 02 00 00 00
93,5D,0x1BFF,A9,top8,2,9,8,FF FF 7D FF 7D FF 01 FF FF FF FF,00 00 82 00 82 00 FE 00 00 00 00
94,5E,0x1C0B,8B,top8,0,11,12,DF FF BF FF 7F FF BF FF DF FF FF,20 00 40 00 80 00 40 00 20 00 00
95,5F,0x1C17,0B,bottom8,0,11,12,FE FF FE FF FE FF FE FF FE FF FF,01 00 01 00 01 00 01 00 01 00 00
96,60,0x1C23,B7,top8,3,7,5,FF FF FF 7F BF FF FF FF FF FF FF,00 00 00 80 40 00 00 00 00 00 00
97,61,0x1C2F,8B,top8,0,11,12,FB F5 DF F5 DF F5 DF E3 FD FF FF,04 0A 20 0A 20 0A 20 1C 02 00 00
98,62,0x1C3B,8A,top8,0,10,11,01 FF DD FF DD FF DD E3 FF FF FF,FE 00 22 00 22 00 22 1C 00 00 00
99,63,0x1C47,8A,top8,0,10,11,E3 DD FF DD FF DD FF DD FF FF FF,1C 22 00 22 00 22 00 22 00 00 00
100,64,0x1C53,8A,top8,0,10,11,E3 DD FF DD FF DD FF 01 FF FF FF,1C 22 00 22 00 22 00 FE 00 00 00
101,65,0x1C5F,8B,top8,0,11,12,E3 DD F7 DD F7 DD F7 DD E7 FF FF,1C 22 08 22 08 22 08 22 18 00 00
102,66,0x1C6B,89,top8,0,9,10,EF FF EF 91 6F FF 6F FF FF FF FF,10 00 10 6E 90 00 90 00 00 00 00
103,67,0x1C77,0A,bottom8,0,10,11,C7 BB FE BB FE BB FE 81 FF FF FF,38 44 01 44 01 44 01 7E 00 00 00
104,68,0x1C83,8A,top8,0,10,11,01 FF DF FF DF FF DF E1 FF FF FF,FE 00 20 00 20 00 20 1E 00 00 00
105,69,0x1C8F,98,top8,1,8,8,FF DD FF 41 FF FD FF FF FF FF FF,00 22 00 BE 00 02 00 00 00 00 00
106,6A,0x1C9B,99,top8,1,9,9,FF FE FF FE DF FE 41 FF FF FF FF,00 01 00 01 20 01 BE 00 00 00 00
107,6B,0x1CA7,9A,top8,1,10,10,FF 01 FF F7 FF EB FF DD FF FF FF,00 FE 00 08 00 14 00 22 00 00 00
108,6C,0x1CB3,98,top8,1,8,8,FF 7D FF 01 FF FD FF FF FF FF FF,00 82 00 FE 00 02 00 00 00 00 00
109,6D,0x1CBF,8B,top8,0,11,12,E1 DF FF DF E1 DF FF DF E1 FF FF,1E 20 00 20 1E 20 00 20 1E 00 00
110,6E,0x1CCB,8A,top8,0,10,11,C1 FF DF FF DF FF DF E1 FF FF FF,3E 00 20 00 20 00 20 1E 00 00 00
111,6F,0x1CD7,8B,top8,0,11,12,E3 DD FF DD FF DD FF DD E3 FF FF,1C 22 00 22 00 22 00 22 1C 00 00
